strain_id	CIP
2001H23	0.064
2005B09	0.125
2007B71	0.125
2009H06	0.125
2010H34	0.125
2011A01	0.125
2001B52	0.064
2001B57	0.064
2009H09	0.125
2002H04	64
2003B44	64
2004H34	64
2005H10	64
2006H11	64
2006H27	64
2011H03	64
2002B14	64
2003B45	64
2003H04	64
2004B08	64
2004H30	64
2004H38	64
2006H36	64
2009H11	64
2010B36	64
2010H50	64
2010H62	64
2011B50	64
2011B62	64
1606H16	64
A4294106-10	32
A4294106-1	32
A4294106-2	64
A4294106-3	32
A4294106-4	64
A4294106-5	32
A4294106-6	64
A4294106-7	64
A4294106-8	32
A4294106-9	32
A4316057-10	64
A4316057-11	64
A4316057-12	64
A4316057-13	64
A4316057-15	64
A4316057-4	64
A4316057-5	64
A4316057-6	64
A4316057-7	64
A4316057-8	64
A4316057-9	64
A4336758-10	64
A4336758-1	64
A4338474-10	64
A4338474-11	64
A4338474-12	64
A4338474-13	64
A4338474-14	64
A4338474-15	64
A4338474-1	64
A4338474-2	64
A4338474-3	64
A4338474-4	64
A4338474-5	64
A4338474-6	64
A4338474-7	64
A4338474-8	64
A4338474-9	64
BJ16085	64
BJ16092	64
BJ16097	64
GDZ16087	64
GDZ16095	64
GDZ16099	64
HEB18091	64
HEB18094	64
SH16061	64
SY16087	64
SY16088	64
SY16090	32
WH18075	64
XJ16115	64
XJ16120	64
ZJ16087	64
ZJ16093	64
ZJ18087	64
A4316057-14	64
A4316057-1	64
A4316057-2	64
A4316057-3	64
