strain_id	COL
2001H23	0.5
2005B57	0.25
2005B09	0.25
2007B71	1
2009H06	0.5
2010H34	0.5
2011A01	0.5
2001B52	0.25
2001B57	0.25
2009H09	0.5
2002H04	0.5
2003B44	0.5
2004H34	1
2005H10	0.25
2006H11	1
2006H27	0.5
2011H03	0.25
2002B14	0.5
2003B45	0.25
2003H04	0.25
2004B08	0.5
2004H30	0.5
2004H38	1
2006H36	0.5
2009H11	0.5
2010B36	1
2010H50	0.5
2010H62	0.5
2011B50	0.5
2011B62	1
1606H16	1
A4294106-10	0.5
A4294106-1	0.5
A4294106-2	0.5
A4294106-3	0.25
A4294106-4	0.25
A4294106-5	0.5
A4294106-6	0.25
A4294106-7	0.25
A4294106-8	0.5
A4294106-9	0.5
A4316057-10	1
A4316057-11	1
A4316057-12	1
A4316057-13	1
A4316057-15	2
A4316057-4	2
A4316057-5	1
A4316057-6	1
A4316057-7	2
A4316057-8	2
A4316057-9	2
A4336758-10	0.25
A4336758-1	0.25
A4338474-10	0.25
A4338474-11	0.25
A4338474-12	0.25
A4338474-13	0.25
A4338474-14	0.25
A4338474-15	0.25
A4338474-1	0.25
A4338474-2	0.25
A4338474-3	0.25
A4338474-4	0.25
A4338474-5	0.25
A4338474-6	0.25
A4338474-7	0.25
A4338474-8	0.25
A4338474-9	0.25
BJ16085	1
BJ16092	0.5
BJ16097	0.5
GDZ16087	1
GDZ16095	1
GDZ16099	1
HEB18091	0.5
HEB18094	1
SH16061	0.5
SY16087	1
SY16088	1
SY16090	1
WH18075	0.5
XJ16115	0.5
XJ16120	1
ZJ16087	1
ZJ16093	1
ZJ18087	1
A4316057-14	2
A4316057-2	1
A4316057-3	2
