strain_id	CSL
2001H23	2
2005B57	2
2005B09	32
2007B71	2
2009H06	2
2010H34	2
2011A01	2
2001B52	2
2001B57	2
2009H09	2
2002H04	32
2003B44	32
2004H34	32
2005H10	32
2006H11	32
2006H27	32
2011H03	32
2002B14	32
2003B45	32
2003H04	32
2004B08	32
2004H30	32
2004H38	32
2006H36	32
2009H11	64
2010B36	32
2010H50	32
2010H62	32
2011B50	32
2011B62	32
A4294106-10	32
A4294106-1	64
A4294106-2	64
A4294106-3	32
A4294106-4	64
A4294106-5	32
A4294106-6	64
A4294106-7	64
A4294106-8	64
A4294106-9	32
A4316057-10	64
A4316057-11	64
A4316057-12	64
A4316057-13	64
A4316057-15	64
A4316057-4	128
A4316057-5	128
A4316057-6	64
A4316057-7	128
A4316057-8	128
A4316057-9	64
A4336758-10	128
A4338474-10	64
A4338474-11	64
A4338474-12	64
A4338474-13	64
A4338474-14	64
A4338474-15	128
A4338474-1	32
A4338474-2	32
A4338474-3	128
A4338474-4	128
A4338474-5	64
A4338474-6	32
A4338474-7	32
A4338474-8	128
A4338474-9	128
BJ16085	64
BJ16092	64
BJ16097	64
GDZ16087	64
GDZ16095	128
GDZ16099	128
HEB18091	32
HEB18094	32
SH16061	64
SY16087	64
SY16088	32
SY16090	64
WH18075	64
XJ16115	32
XJ16120	32
ZJ16087	64
ZJ16093	64
ZJ18087	64
A4316057-14	32
A4316057-1	64
A4316057-2	64
A4316057-3	64
