strain_id	FEP
2001H23	2
2005B57	4
2005B09	4
2007B71	2
2009H06	2
2010H34	4
2011A01	2
2001B52	1
2001B57	1
2009H09	2
2002H04	32
2003B44	128
2004H34	64
2005H10	64
2006H11	64
2006H27	64
2011H03	64
2002B14	64
2003B45	64
2003H04	64
2004B08	64
2004H30	64
2004H38	64
2006H36	64
2009H11	64
2010B36	64
2010H50	32
2010H62	64
2011B50	64
2011B62	128
A4294106-10	32
A4294106-1	64
A4294106-2	256
A4294106-4	256
A4294106-5	32
A4294106-6	256
A4294106-7	256
A4294106-8	32
A4294106-9	32
A4316057-10	256
A4316057-11	256
A4316057-12	256
A4316057-13	256
A4316057-15	256
A4316057-4	256
A4316057-5	256
A4316057-6	256
A4316057-7	256
A4316057-8	256
A4316057-9	256
A4336758-10	256
A4336758-1	256
A4338474-10	256
A4338474-11	256
A4338474-12	256
A4338474-13	256
A4338474-14	256
A4338474-15	256
A4338474-1	256
A4338474-2	256
A4338474-3	256
A4338474-4	256
A4338474-5	256
A4338474-6	256
A4338474-7	256
A4338474-8	256
A4338474-9	256
BJ16085	128
BJ16092	32
BJ16097	128
GDZ16087	128
GDZ16095	256
GDZ16099	256
HEB18091	128
HEB18094	64
SH16061	256
SY16087	64
SY16088	64
SY16090	64
WH18075	128
XJ16115	32
XJ16120	64
ZJ16087	256
ZJ16093	64
ZJ18087	256
A4316057-14	64
A4316057-1	256
A4316057-2	256
A4316057-3	128
