strain_id	IPM
2001H23	0.25
2005B57	0.25
2005B09	0.25
2007B71	0.25
2009H06	0.25
2010H34	0.25
2011A01	0.25
2001B52	0.5
2001B57	0.5
2009H09	0.5
2002H04	16
2003B44	32
2004H34	32
2005H10	32
2006H11	32
2006H27	32
2011H03	32
2002B14	32
2003B45	32
2003H04	32
2004B08	32
2004H30	32
2004H38	32
2006H36	32
2009H11	32
2010B36	32
2010H50	32
2010H62	32
2011B50	32
2011B62	32
1606H16	0.5
A4294106-10	32
A4294106-1	32
A4294106-2	32
A4294106-3	32
A4294106-4	32
A4294106-5	32
A4294106-6	32
A4294106-7	32
A4294106-8	32
A4294106-9	32
A4316057-10	32
A4316057-11	32
A4316057-12	32
A4316057-13	32
A4316057-15	32
A4316057-4	32
A4316057-5	32
A4316057-6	32
A4316057-7	32
A4316057-8	32
A4316057-9	32
A4336758-10	32
A4336758-1	32
A4338474-10	32
A4338474-11	32
A4338474-12	32
A4338474-13	32
A4338474-14	32
A4338474-15	32
A4338474-1	32
A4338474-2	32
A4338474-3	32
A4338474-4	32
A4338474-5	32
A4338474-6	32
A4338474-7	32
A4338474-8	32
A4338474-9	32
BJ16085	32
BJ16092	32
BJ16097	32
GDZ16087	32
GDZ16095	32
GDZ16099	32
HEB18091	64
HEB18094	64
SH16061	32
SY16087	32
SY16088	32
SY16090	32
WH18075	64
XJ16115	32
XJ16120	32
ZJ16087	32
ZJ16093	32
ZJ18087	64
A4316057-14	16
A4316057-1	32
A4316057-2	32
A4316057-3	32
