strain_id	LVX
2001H23	0.125
2005B57	0.125
2005B09	0.064
2007B71	0.125
2009H06	0.125
2010H34	0.125
2011A01	0.125
2001B52	0.064
2001B57	0.064
2009H09	0.064
2002H04	16
2003B44	8
2004H34	16
2005H10	8
2006H11	8
2006H27	8
2011H03	8
2002B14	8
2003B45	32
2003H04	32
2004B08	16
2004H30	8
2004H38	16
2006H36	16
2009H11	8
2010B36	16
2010H50	16
2010H62	8
2011B50	8
2011B62	16
1606H16	16
A4294106-10	16
A4294106-1	16
A4294106-2	16
A4294106-3	8
A4294106-4	16
A4294106-5	16
A4294106-6	16
A4294106-7	16
A4294106-8	16
A4294106-9	16
A4316057-10	32
A4316057-11	32
A4316057-12	64
A4316057-13	32
A4316057-15	32
A4316057-4	32
A4316057-5	32
A4316057-6	32
A4316057-7	32
A4316057-8	32
A4316057-9	32
A4336758-10	16
A4336758-1	8
A4338474-10	8
A4338474-11	8
A4338474-12	16
A4338474-13	8
A4338474-14	8
A4338474-15	8
A4338474-1	8
A4338474-2	8
A4338474-3	8
A4338474-4	8
A4338474-5	8
A4338474-6	64
A4338474-7	64
A4338474-8	8
A4338474-9	8
BJ16085	16
BJ16092	8
BJ16097	4
GDZ16087	16
GDZ16095	8
GDZ16099	32
HEB18091	32
HEB18094	8
SH16061	8
SY16087	8
SY16088	8
SY16090	8
WH18075	16
XJ16115	16
XJ16120	16
ZJ16087	8
ZJ16093	4
ZJ18087	16
A4316057-14	32
A4316057-1	64
A4316057-3	64
