strain_id	MNO
2001H23	0.064
2005B57	0.064
2007B71	0.064
2009H06	0.064
2010H34	0.064
2011A01	0.064
2001B52	0.064
2001B57	0.064
2009H09	0.064
2002H04	16
2003B44	4
2004H34	1
2005H10	8
2006H11	8
2006H27	4
2011H03	8
2002B14	4
2003B45	16
2003H04	8
2004B08	8
2004H30	8
2004H38	1
2006H36	4
2009H11	4
2010B36	16
2010H50	16
2010H62	4
2011B50	4
2011B62	16
1606H16	32
A4294106-10	8
A4294106-1	8
A4294106-2	32
A4294106-3	8
A4294106-4	32
A4294106-5	8
A4294106-6	32
A4294106-7	32
A4294106-8	16
A4294106-9	8
A4316057-10	16
A4316057-11	16
A4316057-12	16
A4316057-13	16
A4316057-15	16
A4316057-4	16
A4316057-5	16
A4316057-6	16
A4316057-7	16
A4316057-8	16
A4316057-9	16
A4336758-10	16
A4336758-1	8
A4338474-10	8
A4338474-11	8
A4338474-12	8
A4338474-13	8
A4338474-14	8
A4338474-15	8
A4338474-1	8
A4338474-2	8
A4338474-3	8
A4338474-4	8
A4338474-5	8
A4338474-6	32
A4338474-7	32
A4338474-8	8
A4338474-9	8
BJ16085	16
BJ16092	4
BJ16097	4
GDZ16087	4
GDZ16095	8
GDZ16099	8
HEB18091	32
HEB18094	8
SH16061	4
SY16087	4
SY16088	16
SY16090	4
WH18075	32
XJ16115	16
XJ16120	16
ZJ16087	4
ZJ16093	4
ZJ18087	8
A4316057-14	16
A4316057-1	16
A4316057-2	16
A4316057-3	16
