strain_id	SXT
2005B57	0.25
2005B09	0.25
2007B71	0.25
2009H06	0.25
2010H34	0.25
2011A01	0.25
2001B52	0.25
2001B57	0.125
2009H09	0.125
2002H04	32
2003B44	0.5
2004H34	32
2005H10	128
2006H11	0.5
2006H27	16
2011H03	1
2002B14	0.5
2003B45	128
2003H04	16
2004B08	1
2004H30	0.5
2004H38	32
2006H36	32
2009H11	1
2010B36	128
2010H50	32
2010H62	128
2011B50	0.5
2011B62	128
1606H16	64
BJ16085	64
BJ16092	32
BJ16097	16
GDZ16087	32
GDZ16095	1
GDZ16099	32
HEB18091	0.25
HEB18094	0.5
SH16061	64
SY16087	32
SY16088	32
SY16090	0.25
WH18075	32
XJ16115	16
XJ16120	1
ZJ16087	1
ZJ16093	0.5
ZJ18087	1
