strain_id	TGC
2001H23	0.125
2005B57	0.25
2005B09	1
2007B71	0.25
2009H06	0.125
2010H34	0.25
2011A01	0.25
2001B52	0.125
2001B57	0.125
2009H09	0.125
2002H04	2
2003B44	2
2004H34	2
2005H10	2
2006H11	2
2006H27	2
2011H03	2
2002B14	2
2003B45	2
2003H04	1
2004B08	2
2004H30	2
2004H38	8
2006H36	4
2009H11	1
2010B36	2
2010H50	2
2010H62	2
2011B50	2
2011B62	2
1606H16	8
A4294106-10	0.5
A4294106-1	1
A4294106-2	2
A4294106-3	0.5
A4294106-4	2
A4294106-5	0.5
A4294106-6	2
A4294106-7	2
A4294106-8	0.5
A4294106-9	0.5
A4316057-10	8
A4316057-11	8
A4316057-12	8
A4316057-13	4
A4316057-15	8
A4316057-4	8
A4316057-5	8
A4316057-6	8
A4316057-7	8
A4316057-8	8
A4316057-9	8
A4336758-10	2
A4336758-1	2
A4338474-10	2
A4338474-11	2
A4338474-12	2
A4338474-13	2
A4338474-14	2
A4338474-15	2
A4338474-1	2
A4338474-2	4
A4338474-3	0.5
A4338474-4	2
A4338474-5	2
A4338474-6	8
A4338474-7	8
A4338474-8	2
A4338474-9	2
BJ16085	2
BJ16092	2
BJ16097	2
GDZ16087	2
GDZ16095	8
GDZ16099	2
HEB18091	4
HEB18094	4
SH16061	4
SY16087	2
SY16088	4
SY16090	2
WH18075	4
XJ16115	4
XJ16120	4
ZJ16087	2
ZJ16093	2
ZJ18087	8
A4316057-14	2
A4316057-1	2
A4316057-2	2
A4316057-3	2
